,AAPL,AAPL,AAPL,AAPL,AAPL
,open,high,low,close,volume
time,,,,,
2020-10-01 00:00:00-04:00,117.64,117.72,115.83,116.8,97603139
2020-10-02 00:00:00-04:00,112.89,115.37,112.22,113.02,122690422
2020-10-05 00:00:00-04:00,113.92,116.65,113.55,116.54,93972780
2020-10-06 00:00:00-04:00,115.7,116.12,112.25,113.16,142211773
2020-10-07 00:00:00-04:00,114.62,115.51,114.13,115.05,84487218
2020-10-08 00:00:00-04:00,116.27,116.4,114.5901,114.97,74552335
2020-10-09 00:00:00-04:00,115.28,117.0,114.92,116.98,86041259
2020-10-12 00:00:00-04:00,120.06,125.18,119.2845,124.42,214339341
2020-10-13 00:00:00-04:00,125.27,125.39,119.65,121.05,241006181
2020-10-14 00:00:00-04:00,120.99,123.03,119.62,121.29,135410215
2020-10-15 00:00:00-04:00,118.72,121.2,118.15,120.7453,97361453
2020-10-16 00:00:00-04:00,121.28,121.548,118.81,118.96,100869315
2020-10-19 00:00:00-04:00,119.96,120.419,115.66,116.0,95733407
2020-10-20 00:00:00-04:00,116.19,118.98,115.63,117.5,108602099
2020-10-21 00:00:00-04:00,116.67,118.705,116.45,116.86,69861622
2020-10-22 00:00:00-04:00,117.45,118.04,114.59,115.7737,90327115
2020-10-23 00:00:00-04:00,116.39,116.55,114.28,115.04,73088651
2020-10-26 00:00:00-04:00,114.01,116.55,112.88,115.06,94591584
2020-10-27 00:00:00-04:00,115.49,117.28,114.5399,116.53,80663462
2020-10-28 00:00:00-04:00,115.05,115.43,111.1,111.15,123242639
2020-10-29 00:00:00-04:00,112.37,116.93,112.2,114.52,111552689
2020-10-30 00:00:00-04:00,111.06,111.99,107.72,108.9,163824978
